agents	prompt_n	agg_decode_tps	per_agent_tps	prefill_tps	batch_wall_s	status
1	2048	54.45	86.08	1204.27	4.7	OK
2	2048	54.41	36.93	1181.01	9.41	OK
4	2048	79.86	30.23	486.3	12.82	OK
8	2048	87.42	17.34	326.14	23.43	OK
16	2048	94.48	9.0	267.49	43.35	OK
24	2048	103.56	6.59	255.04	59.33	OK
32	2048	108.49	5.21	240.32	75.51	OK
40	2048	111.63	4.3	231.86	91.73	OK
48	2048	114.61	3.7	226.17	107.22	OK
56	2048	116.54	3.23	221.4	123.01	OK
